epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/rubbish,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,33,,,,,,,,,,,,,,,,,,,,,,,,,,0.2871968746185303,0.6946308612823486,0.7009180188179016,0.30450698733329773,0.49659091234207153,7.676497459411621,0.6837248206138611,0.2871968746185303,0.17540811002254486,0.48490259051322937,0.71875,0.6720778942108154
0,33,3895.548095703125,3894.95556640625,3895.550048828125,3895.487060546875,3895.107421875,57.583492279052734,8.468564987182617,0.013199113309383392,0.013594835996627808,0.01324196346104145,0.013141920790076256,0.014077435247600079,1.0074912309646606,1.0797832012176514,1.0453221797943115,1.008383870124817,1.1052554845809937,0.28717660903930664,0.28722622990608215,0.2840776741504669,0.2863738536834717,0.298172265291214,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
1,67,,,,,,,,,,,,,,,,,,,,,,,,,,0.408740371465683,0.7760140895843506,0.7674269080162048,0.41574379801750183,0.543668806552887,6.5843048095703125,0.7691160440444946,0.408740371465683,0.3839583396911621,0.5397727489471436,0.8494208455085754,0.7142857313156128
1,67,3896.2666015625,3896.2666015625,3896.2666015625,3896.2666015625,3896.2666015625,0.0007683648145757616,6.866005897521973,0.013444134965538979,0.013617410324513912,0.013414917513728142,0.013293140567839146,0.015335035510361195,0.6670241355895996,0.7867319583892822,0.6873781085014343,0.6686673164367676,0.8318777084350586,0.2833934426307678,0.2825704514980316,0.28342899680137634,0.28147071599960327,0.3085385262966156,,,,,,,,,,,,,,,
2,99,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
2,101,,,,,,,,,,,,,,,,,,,,,,,,,,0.43692445755004883,0.784549355506897,0.7905031442642212,0.43469560146331787,0.5623376369476318,6.293242454528809,0.7905164957046509,0.43692445755004883,0.43375110626220703,0.5594155788421631,0.8324226140975952,0.7418830990791321
2,101,3896.012939453125,3896.01123046875,3896.012939453125,3896.012939453125,3896.012939453125,-1.2998227703064913e-06,6.364313125610352,0.012209255248308182,0.012764398008584976,0.012332400307059288,0.01207076944410801,0.013730842620134354,0.627609372138977,0.6830536127090454,0.6279400587081909,0.6255701780319214,0.6727292537689209,0.2760203778743744,0.2808643579483032,0.2786901891231537,0.27577364444732666,0.29458850622177124,,,,,,,,,,,,,,,
3,135,,,,,,,,,,,,,,,,,,,,,,,,,,0.4457016587257385,0.7891513705253601,0.7965867519378662,0.44233793020248413,0.5530844330787659,6.244180679321289,0.7914765477180481,0.4457016587257385,0.42523831129074097,0.5634739995002747,0.855787456035614,0.7321428656578064
3,135,3896.068603515625,3896.068603515625,3896.068603515625,3896.068603515625,3896.068603515625,0.0033508865162730217,6.062865257263184,0.011472679674625397,0.011930099688470364,0.01154288649559021,0.01145634800195694,0.012646633200347424,0.5994068384170532,0.6468433737754822,0.6046608686447144,0.5987372994422913,0.6308010220527649,0.2653125524520874,0.26796454191207886,0.2660011053085327,0.26546144485473633,0.27884671092033386,,,,,,,,,,,,,,,
4,149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
4,169,,,,,,,,,,,,,,,,,,,,,,,,,,0.4387609660625458,0.8089500665664673,0.8135842084884644,0.4543626308441162,0.5595779418945312,6.327916145324707,0.8193548917770386,0.4387609660625458,0.39641642570495605,0.5426948070526123,0.860805869102478,0.7629870176315308
4,169,3896.248046875,3896.24267578125,3896.248046875,3896.248046875,3896.248046875,-1.2998227703064913e-06,5.866353511810303,0.010934003628790379,0.011562548577785492,0.011057178489863873,0.010902684181928635,0.01231366116553545,0.5751720070838928,0.6223641037940979,0.5820846557617188,0.5751997232437134,0.6121959686279297,0.2570246458053589,0.2615453898906708,0.2590012550354004,0.2572222054004669,0.27294954657554626,,,,,,,,,,,,,,,
5,199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
5,203,,,,,,,,,,,,,,,,,,,,,,,,,,0.441961407661438,0.8107173442840576,0.8091009855270386,0.4609181880950928,0.5582792162895203,6.224534034729004,0.8188465237617493,0.441961407661438,0.41154199838638306,0.53685063123703,0.8669131398200989,0.7613636255264282
5,203,3896.34619140625,3896.34619140625,3896.34619140625,3896.34619140625,3896.34619140625,-1.2433087022145628e-06,5.866054534912109,0.011683221906423569,0.01186823844909668,0.01177850179374218,0.01175775658339262,0.012775998562574387,0.5768564343452454,0.6102472543716431,0.5795239210128784,0.5755257606506348,0.6023344993591309,0.25887635350227356,0.26032036542892456,0.2595421373844147,0.2591768801212311,0.2732079029083252,,,,,,,,,,,,,,,
6,237,,,,,,,,,,,,,,,,,,,,,,,,,,0.4478222131729126,0.8074639439582825,0.8204715251922607,0.4654078781604767,0.5659090876579285,6.229331016540527,0.8131511211395264,0.4478222131729126,0.4214631915092468,0.5412337779998779,0.845470666885376,0.7727272510528564
